alias,code,emoji
"love_you_gesture","\U0001f91f","🤟"
"metal","\U0001f918","🤘"
"sign_of_the_horns","\U0001f918","🤘"
"ok_hand","\U0001f44c","👌"
"pinching_hand","\U0001f90f","🤏"
"pinched_fingers","\U0001f90c","🤌"
"point_left","\U0001f448","👈"
"point_right","\U0001f449","👉"
"point_up_2","\U0001f446","👆"
"point_down","\U0001f447","👇"
"point_up","\u261d\ufe0f","☝️"
"raised_hand","\u270b","✋"
"raised_back_of_hand","\U0001f91a","🤚"
"back_of_hand","\U0001f91a","🤚"
"hand_splayed","\U0001f590\ufe0f","🖐️"
"raised_hand_with_fingers_splayed","\U0001f590\ufe0f","🖐️"
"vulcan","\U0001f596","🖖"
"raised_hand_with_part_between_middle_and_ring_fingers","\U0001f596","🖖"
"wave","\U0001f44b","👋"
"call_me","\U0001f919","🤙"
"call_me_hand","\U0001f919","🤙"
"muscle","\U0001f4aa","💪"
"mechanical_arm","\U0001f9be","🦾"
"middle_finger","\U0001f595","🖕"
"reversed_hand_with_middle_finger_extended","\U0001f595","🖕"
"writing_hand","\u270d\ufe0f","✍️"
"pray","\U0001f64f","🙏"
"foot","\U0001f9b6","🦶"
"leg","\U0001f9b5","🦵"
"mechanical_leg","\U0001f9bf","🦿"
"lipstick","\U0001f484","💄"
"kiss","\U0001f48b","💋"
"lips","\U0001f444","👄"
"tooth","\U0001f9b7","🦷"
"tongue","\U0001f445","👅"
"ear","\U0001f442","👂"
"ear_with_hearing_aid","\U0001f9bb","🦻"
"nose","\U0001f443","👃"
"footprints","\U0001f463","👣"
"eye","\U0001f441\ufe0f","👁️"
"eyes","\U0001f440","👀"
"brain","\U0001f9e0","🧠"
"anatomical_heart","\U0001fac0","🫀"
"lungs","\U0001fac1","🫁"
"bone","\U0001f9b4","🦴"
"speaking_head","\U0001f5e3\ufe0f","🗣️"
"speaking_head_in_silhouette","\U0001f5e3\ufe0f","🗣️"
"bust_in_silhouette","\U0001f464","👤"
"busts_in_silhouette","\U0001f465","👥"
"people_hugging","\U0001fac2","🫂"
"baby","\U0001f476","👶"
